HoleID,From_m,To_m,Au_ppm,Lithology,QAQC_Flag
KW001,0,1,0.038,Saprolite,OK
KW001,1,2,0.241,Saprolite,OK
KW001,2,3,0.105,Saprolite,OK
KW001,3,4,0.073,Saprolite,OK
KW001,4,5,0.014,Saprolite,OK
KW001,5,6,0.014,Saprolite,OK
KW001,6,7,0.005,Saprolite,OK
KW001,7,8,0.161,Saprolite,OK
KW001,8,9,0.074,Saprolite,OK
KW001,9,10,0.099,Saprolite,OK
KW001,10,11,0.002,Saprolite,OK
KW001,11,12,0.28,Saprolite,OK
KW001,12,13,0.143,Saprolite,OK
KW001,13,14,0.019,Saprolite,OK
KW001,14,15,0.016,Saprolite,OK
KW001,15,16,0.016,Saprolite,OK
KW001,16,17,0.029,Saprolite,OK
KW001,17,18,0.06,Saprolite,OK
KW001,18,19,0.045,Saprolite,OK
KW001,19,20,0.028,Saprolite,OK
KW001,20,21,0.076,Phyllite,OK
KW001,21,22,0.012,Phyllite,OK
KW001,22,23,0.028,Phyllite,OK
KW001,23,24,0.037,Phyllite,OK
KW001,24,25,0.049,Phyllite,OK
KW001,25,26,0.123,Phyllite,OK
KW001,26,27,0.839,Phyllite,OK
KW001,27,28,0.295,Phyllite,OK
KW001,28,29,1.617,Quartz-Carbonate Vein,OK
KW001,29,30,0.865,Phyllite,OK
KW001,30,31,0.357,Phyllite,OK
KW001,31,32,0.005,Phyllite,OK
KW001,32,33,0.238,Phyllite,OK
KW001,33,34,0.27,Phyllite,OK
KW001,34,35,1.041,Phyllite,OK
KW001,35,36,0.526,Phyllite,OK
KW001,36,37,5.335,Quartz-Carbonate Vein,HIGH_OUTLIER
KW001,37,38,0.981,Phyllite,OK
KW001,38,39,0.513,Phyllite,OK
KW001,39,40,0.046,Phyllite,OK
KW001,40,41,0.01,Phyllite,OK
KW001,41,42,0.055,Greywacke,OK
KW001,42,43,0.003,Greywacke,OK
KW001,43,44,0.192,Greywacke,OK
KW001,44,45,0.024,Greywacke,OK
KW001,45,46,0.087,Greywacke,OK
KW001,46,47,0.03,Greywacke,OK
KW001,47,48,0.059,Greywacke,OK
KW001,48,49,0.063,Greywacke,OK
KW001,49,50,0.016,Greywacke,OK
KW001,50,51,0.279,Greywacke,OK
KW001,51,52,0.119,Greywacke,OK
KW001,52,53,0.224,Greywacke,OK
KW001,53,54,0.18,Greywacke,OK
KW001,54,55,0.073,Greywacke,OK
KW001,55,56,0.204,Greywacke,OK
KW001,56,57,0.007,Greywacke,OK
KW001,57,58,0.017,Greywacke,OK
KW001,58,59,0.004,Greywacke,OK
KW001,59,60,0.395,Greywacke,OK
KW001,60,61,0.264,Greywacke,OK
KW001,61,62,4.642,Quartz-Carbonate Vein,HIGH_OUTLIER
KW001,62,63,0.549,Mafic Volcanic,OK
KW001,63,64,0.312,Mafic Volcanic,OK
KW001,64,65,0.063,Mafic Volcanic,OK
KW001,65,66,0.012,Mafic Volcanic,OK
KW001,66,67,0.13,Mafic Volcanic,OK
KW001,67,68,0.006,Mafic Volcanic,OK
KW001,68,69,0.347,Mafic Volcanic,OK
KW001,69,70,0.118,Mafic Volcanic,OK
KW001,70,71,0.018,Phyllite,OK
KW001,71,72,0.0,Phyllite,OK
KW001,72,73,0.135,Phyllite,OK
KW001,73,74,0.098,Phyllite,OK
KW001,74,75,0.104,Phyllite,OK
KW001,75,76,0.118,Phyllite,OK
KW001,76,77,0.006,Phyllite,OK
KW001,77,78,0.432,Phyllite,OK
KW001,78,79,0.445,Phyllite,OK
KW001,79,80,1.952,Quartz-Carbonate Vein,OK
KW001,80,81,1.009,Phyllite,OK
KW001,81,82,1.584,Phyllite,OK
KW001,82,83,0.572,Phyllite,OK
KW001,83,84,0.703,Phyllite,OK
KW001,84,85,1.032,Quartz-Carbonate Vein,OK
KW001,85,86,0.346,Phyllite,OK
KW001,86,87,1.413,Phyllite,OK
KW001,87,88,0.175,Phyllite,OK
KW001,88,89,0.051,Phyllite,OK
KW001,89,90,0.01,Phyllite,OK
KW001,90,91,0.1,Phyllite,OK
KW001,91,92,0.114,Phyllite,OK
KW001,92,93,0.066,Phyllite,OK
KW001,93,94,0.118,Phyllite,OK
KW001,94,95,0.054,Phyllite,OK
KW001,95,96,0.059,Phyllite,OK
KW001,96,97,0.045,Phyllite,OK
KW001,97,98,0.002,Phyllite,OK
KW001,98,99,0.009,Phyllite,OK
KW001,99,100,0.003,Phyllite,OK
KW001,100,101,0.081,Phyllite,OK
KW001,101,102,0.03,Phyllite,OK
KW001,102,103,0.057,Felsic Volcanic,OK
KW001,103,104,0.191,Felsic Volcanic,OK
KW001,104,105,0.023,Felsic Volcanic,OK
KW001,105,106,0.042,Felsic Volcanic,OK
KW001,106,107,0.113,Felsic Volcanic,OK
KW001,107,108,0.021,Felsic Volcanic,OK
KW001,108,109,0.006,Felsic Volcanic,OK
KW001,109,110,0.027,Phyllite,OK
KW001,110,111,0.014,Phyllite,OK
KW001,111,112,0.212,Phyllite,OK
KW001,112,113,0.132,Phyllite,OK
KW001,113,114,0.08,Phyllite,OK
KW001,114,115,0.164,Phyllite,OK
KW001,115,116,0.13,Phyllite,OK
KW001,116,117,0.017,Phyllite,OK
KW001,117,118,0.178,Phyllite,OK
KW001,118,119,0.062,Phyllite,OK
KW001,119,120,0.132,Phyllite,OK
KW001,120,121,0.181,Phyllite,OK
KW001,121,122,0.031,Phyllite,OK
KW001,122,123,0.009,Greywacke,OK
KW001,123,124,0.021,Greywacke,OK
KW001,124,125,0.045,Greywacke,OK
KW001,125,126,0.136,Greywacke,OK
KW001,126,127,0.158,Greywacke,OK
KW001,127,128,0.001,Greywacke,OK
KW002,0,1,0.057,Saprolite,OK
KW002,1,2,0.043,Saprolite,OK
KW002,2,3,0.02,Saprolite,OK
KW002,3,4,0.01,Saprolite,OK
KW002,4,5,0.033,Saprolite,OK
KW002,5,6,0.229,Saprolite,OK
KW002,6,7,0.031,Saprolite,OK
KW002,7,8,0.059,Saprolite,OK
KW002,8,9,0.097,Saprolite,OK
KW002,9,10,0.036,Saprolite,OK
KW002,10,11,0.285,Phyllite,OK
KW002,11,12,0.263,Phyllite,OK
KW002,12,13,0.023,Phyllite,OK
KW002,13,14,0.055,Phyllite,OK
KW002,14,15,0.029,Phyllite,OK
KW002,15,16,0.027,Phyllite,OK
KW002,16,17,0.003,Phyllite,OK
KW002,17,18,0.075,Phyllite,OK
KW002,18,19,0.056,Phyllite,OK
KW002,19,20,0.004,Phyllite,OK
KW002,20,21,0.026,Phyllite,OK
KW002,21,22,0.191,Phyllite,OK
KW002,22,23,0.022,Phyllite,OK
KW002,23,24,0.013,Phyllite,OK
KW002,24,25,0.054,Phyllite,OK
KW002,25,26,0.34,Phyllite,OK
KW002,26,27,0.022,Phyllite,OK
KW002,27,28,0.089,Phyllite,OK
KW002,28,29,0.115,Phyllite,OK
